review_group;result_id;result_name;assumption_id;short_assumption;current_detail;review_status;proposed_revision;how_to_check;what_to_report;review_notes
ANOVA / covariance models;ancova;ANCOVA;ancova.one_metric_dependent_variable;One metric dependent variable;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
ANOVA / covariance models;ancova;ANCOVA;ancova.one_or_more_categorical_independent_variables;One or more categorical independent variables;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category.;OK;;;;
ANOVA / covariance models;ancova;ANCOVA;ancova.one_or_more_metric_covariates;One or more metric covariates;Covariates should be quantitative predictors measured before or independently of the grouping variable. Check their scale, missingness, outliers, and whether they are conceptually appropriate controls.;OK;;;;
ANOVA / covariance models;ancova;ANCOVA;ancova.linear_relation_between_covariates_and_the_dependent_varia;Linear relation between covariates and the dependent variable;The association should be adequately described by a straight-line relation on the model scale. Scatterplots, partial residual plots, and fitted-vs-residual plots help detect curvature or threshold patterns.;OK;;;;
ANOVA / covariance models;ancova;ANCOVA;ancova.homogeneity_of_regression_slopes;Homogeneity of regression slopes;The relation between each covariate and the dependent variable should be similar across groups. Check covariate-by-group interactions;OK;;;;
ANOVA / covariance models;ancova;ANCOVA;ancova.normally_distributed_residuals_and_homogeneity_of_variance;Normally distributed residuals and homogeneity of variance;The relevant distribution should be approximately normal, usually within groups or for residuals rather than for the raw pooled data. Inspect histograms, Q-Q plots, residual plots, and outliers;OK;;;;
Regression / prediction models;logisticRegression;Binary logistic regression;logisticRegression.dichotomous_outcome_variable;Dichotomous outcome variable;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them.;OK;;;;
Regression / prediction models;logisticRegression;Binary logistic regression;logisticRegression.independent_observations;Independent observations;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Regression / prediction models;logisticRegression;Binary logistic regression;logisticRegression.no_strong_multicollinearity;No strong multicollinearity;Predictors should not be nearly redundant. Inspect correlations, variance inflation factors, condition indices, or unstable coefficients that change markedly when other predictors are added.;OK;;;;
Regression / prediction models;logisticRegression;Binary logistic regression;logisticRegression.sufficient_number_of_events;Sufficient number of events;There should be enough outcome events in each modeled category for stable estimation. Sparse outcomes can produce wide confidence intervals, separation, or unstable odds ratios.;OK;;;;
Mean / median / variance tests;binomialTest;Binomial test;binomialTest.two_level_categorical_variable;Two-level categorical variable;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them.;OK;;;;
Mean / median / variance tests;binomialTest;Binomial test;binomialTest.theoretically_expected_proportion_is_defined;Theoretically expected proportion is defined;The model structure or hypothesis should be motivated before looking at the result. Document why paths, or expected proportions were chosen.;OK;;;;
Mean / median / variance tests;binomialTest;Binomial test;binomialTest.independent_observations;Independent observations;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Mean / median / variance tests;binomialTest;Binomial test;binomialTest.fixed_number_of_trials_or_cases;Fixed number of trials or cases;The number of observations or trials should be determined by the design rather than by stopping after seeing the result. The expected probability should be defined before the observed count is evaluated.;OK;;;;
Association / frequency tests;chiSquareVariance;Chi-square test for one variance;chiSquareVariance.one_metric_variable;One metric variable;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
Association / frequency tests;chiSquareVariance;Chi-square test for one variance;chiSquareVariance.known_or_theoretically_justified_population_variance;Known or theoretically justified population variance;The model structure or hypothesis should be motivated before looking at the result. Document why  population variance was chosen.;OK;;;;
Association / frequency tests;chiSquareVariance;Chi-square test for one variance;chiSquareVariance.independent_observations;Independent observations;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Association / frequency tests;chiSquareVariance;Chi-square test for one variance;chiSquareVariance.normality_in_the_population;Normality in the population;The relevant distribution should be approximately normal, usually within groups or for residuals rather than for the raw pooled data. Inspect histograms, Q-Q plots, residual plots, and outliers;OK;;;;
Association / frequency tests;chiSquareAssociation;Chi-square test of independence;chiSquareAssociation.categorical_variables;Categorical variables;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them, and that sparse categories are not driving unstable estimates.;OK;;;;
Association / frequency tests;chiSquareAssociation;Chi-square test of independence;chiSquareAssociation.independent_observations;Independent observations;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Association / frequency tests;chiSquareAssociation;Chi-square test of independence;chiSquareAssociation.sufficient_expected_cell_counts;Sufficient expected cell counts;Expected frequencies should be large enough for asymptotic approximations to work. If many expected cells are small, combine substantively similar categories, use an exact test where available, or choose a model designed for sparse counts.;OK;;;;
Machine learning / exploratory grouping;clusterAnalysis;Cluster analysis;clusterAnalysis.features_describing_people_or_objects;Features describing people or objects;The variables used to define similarity should be relevant to the grouping goal. Remove identifiers, outcomes that should not define clusters, duplicate measures, and variables whose scale would dominate the solution.;OK;;;;
Machine learning / exploratory grouping;clusterAnalysis;Cluster analysis;clusterAnalysis.appropriate_scaling_or_standardisation;Appropriate scaling or standardisation;Put predictors on comparable scales before distance-based or component-based methods when units differ. Otherwise variables with larger numeric ranges can dominate the result.;OK;;;;
Machine learning / exploratory grouping;clusterAnalysis;Cluster analysis;clusterAnalysis.meaningful_distance_or_similarity_measure;Meaningful distance or similarity measure;The chosen distance or similarity measure should match the meaning of the variables and the research question. Check whether Euclidean, Manhattan, correlation-based, or other distances are most defensible.;OK;;;;
